city,date,hours_start,hours_end,hours_count,temp_avg,relevant_cond_hours,temp_avg_mean,relevant_cond_hours_mean,rating
PARIS,2022-05-26,9,19,11,17.636,9,17.333333333333332,10.333333333333334,8
PARIS,2022-05-27,9,19,11,17.364,11,17.333333333333332,10.333333333333334,8
PARIS,2022-05-28,9,19,11,17.0,11,17.333333333333332,10.333333333333334,8
MOSCOW,2022-05-26,9,19,11,17.727,7,13.75,2.0,12
MOSCOW,2022-05-27,9,19,11,13.091,0,13.75,2.0,12
MOSCOW,2022-05-28,9,19,11,12.182,0,13.75,2.0,12
MOSCOW,2022-05-29,9,9,1,12.0,1,13.75,2.0,12
BERLIN,2022-05-26,9,19,11,19.273,9,16.303,5.0,9
BERLIN,2022-05-27,9,19,11,16.0,6,16.303,5.0,9
BERLIN,2022-05-28,9,19,11,13.636,0,16.303,5.0,9
LONDON,2022-05-26,9,19,11,17.364,11,16.090999999999998,11.0,10
LONDON,2022-05-27,9,19,11,16.273,11,16.090999999999998,11.0,10
LONDON,2022-05-28,9,19,11,14.636,11,16.090999999999998,11.0,10
SPETERSBURG,2022-05-26,9,19,11,12.182,3,11.908999999999999,1.0,15
SPETERSBURG,2022-05-27,9,19,11,11.818,0,11.908999999999999,1.0,15
SPETERSBURG,2022-05-28,9,19,11,11.636,0,11.908999999999999,1.0,15
SPETERSBURG,2022-05-29,9,9,1,12.0,1,11.908999999999999,1.0,15
KAZAN,2022-05-26,9,19,11,12.545,6,13.74975,2.5,13
KAZAN,2022-05-27,9,19,11,13.727,0,13.74975,2.5,13
KAZAN,2022-05-28,9,19,11,14.727,3,13.74975,2.5,13
KAZAN,2022-05-29,9,9,1,14.0,1,13.74975,2.5,13
VOLGOGRAD,2022-05-26,9,19,11,22.091,11,23.659,8.5,6
VOLGOGRAD,2022-05-27,9,19,11,21.909,11,23.659,8.5,6
VOLGOGRAD,2022-05-28,9,19,11,25.636,11,23.659,8.5,6
VOLGOGRAD,2022-05-29,9,9,1,25.0,1,23.659,8.5,6
BEIJING,2022-05-26,9,19,11,31.818,11,31.6325,9.75,3
BEIJING,2022-05-27,9,19,11,32.727,11,31.6325,9.75,3
BEIJING,2022-05-28,9,19,11,33.818,11,31.6325,9.75,3
BEIJING,2022-05-29,9,14,6,28.167,6,31.6325,9.75,3
NOVOSIBIRSK,2022-05-26,9,19,11,24.909,11,23.209249999999997,9.5,7
NOVOSIBIRSK,2022-05-27,9,19,11,22.455,11,23.209249999999997,9.5,7
NOVOSIBIRSK,2022-05-28,9,19,11,23.273,11,23.209249999999997,9.5,7
NOVOSIBIRSK,2022-05-29,9,13,5,22.2,5,23.209249999999997,9.5,7
BUCHAREST,2022-05-26,9,19,11,27.455,11,24.841,8.5,5
BUCHAREST,2022-05-27,9,19,11,26.091,11,24.841,8.5,5
BUCHAREST,2022-05-28,9,19,11,27.818,11,24.841,8.5,5
BUCHAREST,2022-05-29,9,9,1,18.0,1,24.841,8.5,5
WARSZAWA,2022-05-26,9,19,11,19.636,11,15.484666666666667,4.666666666666667,11
WARSZAWA,2022-05-27,9,19,11,14.0,3,15.484666666666667,4.666666666666667,11
WARSZAWA,2022-05-28,9,19,11,12.818,0,15.484666666666667,4.666666666666667,11
KALININGRAD,2022-05-26,9,19,11,15.364,9,13.272666666666666,4.0,14
KALININGRAD,2022-05-27,9,19,11,12.818,2,13.272666666666666,4.0,14
KALININGRAD,2022-05-28,9,19,11,11.636,1,13.272666666666666,4.0,14
ABUDHABI,2022-05-26,9,19,11,34.818,11,34.27275,8.75,1
ABUDHABI,2022-05-27,9,19,11,34.455,11,34.27275,8.75,1
ABUDHABI,2022-05-28,9,19,11,33.818,11,34.27275,8.75,1
ABUDHABI,2022-05-29,9,10,2,34.0,2,34.27275,8.75,1
ROMA,2022-05-26,9,19,11,29.0,11,27.939333333333334,11.0,4
ROMA,2022-05-27,9,19,11,29.273,11,27.939333333333334,11.0,4
ROMA,2022-05-28,9,19,11,25.545,11,27.939333333333334,11.0,4
CAIRO,2022-05-26,9,19,11,32.545,11,33.394,11.0,2
CAIRO,2022-05-27,9,19,11,33.182,11,33.394,11.0,2
CAIRO,2022-05-28,9,19,11,34.455,11,33.394,11.0,2
